Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Milwaukee Bucks*,58,24,0.707,—,116.9,113.3,3.61,East,2023,2022-23
Boston Celtics*,57,25,0.695,1.0,117.9,111.4,6.38,East,2023,2022-23
Philadelphia 76ers*,54,28,0.659,4.0,115.2,110.9,4.37,East,2023,2022-23
Cleveland Cavaliers*,51,31,0.622,7.0,112.3,106.9,5.23,East,2023,2022-23
New York Knicks*,47,35,0.573,11.0,116.0,113.1,2.99,East,2023,2022-23
Brooklyn Nets*,45,37,0.549,13.0,113.4,112.5,1.03,East,2023,2022-23
Miami Heat*,44,38,0.537,14.0,109.5,109.8,-0.13,East,2023,2022-23
Atlanta Hawks*,41,41,0.5,17.0,118.4,118.1,0.32,East,2023,2022-23
Toronto Raptors,41,41,0.5,17.0,112.9,111.4,1.59,East,2023,2022-23
Chicago Bulls,40,42,0.488,18.0,113.1,111.8,1.37,East,2023,2022-23
Indiana Pacers,35,47,0.427,23.0,116.3,119.5,-2.91,East,2023,2022-23
Washington Wizards,35,47,0.427,23.0,113.2,114.4,-1.06,East,2023,2022-23
Orlando Magic,34,48,0.415,24.0,111.4,114.0,-2.39,East,2023,2022-23
Charlotte Hornets,27,55,0.329,31.0,111.0,117.2,-5.89,East,2023,2022-23
Detroit Pistons,17,65,0.207,41.0,110.3,118.5,-7.73,East,2023,2022-23
