Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Milwaukee Bucks*,60,22,0.732,—,118.1,109.3,8.04,East,2019,2018-19
Toronto Raptors*,58,24,0.707,2.0,114.4,108.4,5.49,East,2019,2018-19
Philadelphia 76ers*,51,31,0.622,9.0,115.2,112.5,2.25,East,2019,2018-19
Boston Celtics*,49,33,0.598,11.0,112.4,108.0,3.9,East,2019,2018-19
Indiana Pacers*,48,34,0.585,12.0,108.0,104.7,2.76,East,2019,2018-19
Brooklyn Nets*,42,40,0.512,18.0,112.2,112.3,-0.4,East,2019,2018-19
Orlando Magic*,42,40,0.512,18.0,107.3,106.6,0.28,East,2019,2018-19
Detroit Pistons*,41,41,0.5,19.0,107.0,107.3,-0.56,East,2019,2018-19
Charlotte Hornets,39,43,0.476,21.0,110.7,111.8,-1.32,East,2019,2018-19
Miami Heat,39,43,0.476,21.0,105.7,105.9,-0.45,East,2019,2018-19
Washington Wizards,32,50,0.39,28.0,114.0,116.9,-3.3,East,2019,2018-19
Atlanta Hawks,29,53,0.354,31.0,113.3,119.4,-6.06,East,2019,2018-19
Chicago Bulls,22,60,0.268,38.0,104.9,113.4,-8.32,East,2019,2018-19
Cleveland Cavaliers,19,63,0.232,41.0,104.5,114.1,-9.39,East,2019,2018-19
New York Knicks,17,65,0.207,43.0,104.6,113.8,-8.93,East,2019,2018-19
Golden State Warriors*,57,25,0.695,—,117.7,111.2,6.42,West,2019,2018-19
Denver Nuggets*,54,28,0.659,3.0,110.7,106.7,4.19,West,2019,2018-19
Portland Trail Blazers*,53,29,0.646,4.0,114.7,110.5,4.43,West,2019,2018-19
Houston Rockets*,53,29,0.646,4.0,113.9,109.1,4.96,West,2019,2018-19
Utah Jazz*,50,32,0.61,7.0,111.7,106.5,5.28,West,2019,2018-19
Oklahoma City Thunder*,49,33,0.598,8.0,114.5,111.1,3.56,West,2019,2018-19
San Antonio Spurs*,48,34,0.585,9.0,111.7,110.0,1.8,West,2019,2018-19
Los Angeles Clippers*,48,34,0.585,9.0,115.1,114.3,1.09,West,2019,2018-19
Sacramento Kings,39,43,0.476,18.0,114.2,115.3,-0.81,West,2019,2018-19
Los Angeles Lakers,37,45,0.451,20.0,111.8,113.5,-1.33,West,2019,2018-19
Minnesota Timberwolves,36,46,0.439,21.0,112.5,114.0,-1.02,West,2019,2018-19
Memphis Grizzlies,33,49,0.402,24.0,103.5,106.1,-2.08,West,2019,2018-19
New Orleans Pelicans,33,49,0.402,24.0,115.4,116.8,-1.1,West,2019,2018-19
Dallas Mavericks,33,49,0.402,24.0,108.9,110.1,-0.87,West,2019,2018-19
Phoenix Suns,19,63,0.232,38.0,107.5,116.8,-8.61,West,2019,2018-19
