Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Conference,season_end_year,season
Oklahoma City Thunder*,57,25,0.695,—,120.1,112.7,7.36,West,2024,2023-24
Denver Nuggets*,57,25,0.695,—,114.9,109.6,5.23,West,2024,2023-24
Minnesota Timberwolves*,56,26,0.683,1.0,113.0,106.5,6.39,West,2024,2023-24
Los Angeles Clippers*,51,31,0.622,6.0,115.6,112.3,3.41,West,2024,2023-24
Dallas Mavericks*,50,32,0.61,7.0,117.9,115.6,2.3,West,2024,2023-24
Phoenix Suns*,49,33,0.598,8.0,116.2,113.2,3.08,West,2024,2023-24
New Orleans Pelicans*,49,33,0.598,8.0,115.1,110.7,4.46,West,2024,2023-24
Los Angeles Lakers*,47,35,0.573,10.0,118.0,117.4,1.07,West,2024,2023-24
Sacramento Kings,46,36,0.561,11.0,116.6,114.8,2.29,West,2024,2023-24
Golden State Warriors,46,36,0.561,11.0,117.8,115.2,2.77,West,2024,2023-24
Houston Rockets,41,41,0.5,16.0,114.3,113.2,1.24,West,2024,2023-24
Utah Jazz,31,51,0.378,26.0,115.7,120.5,-4.22,West,2024,2023-24
Memphis Grizzlies,27,55,0.329,30.0,105.8,112.8,-6.57,West,2024,2023-24
San Antonio Spurs,22,60,0.268,35.0,112.1,118.6,-5.8,West,2024,2023-24
Portland Trail Blazers,21,61,0.256,36.0,106.4,115.4,-8.29,West,2024,2023-24
